"stop_code","stop_id","stop_name","platform_code","stop_url","easting","northing","stop_lon","stop_lat"
"CFF","CFFT","Croftfoot Rail Station","7555","NAPTAN","260479","660581","-4.22832464295","55.81825641114"
"TEN","TENBY","Tenby Rail Station","80211","NAPTAN","212942","200599","-4.7066959505","51.67294483154"
"","NWTLEJ","NEWTON (LANARKSHIRE)","7414","ATOC","266400","660500","-4.133863428473293","55.81920750322754"
"","ALBION","ALBION G.F.","65813","TPS","398300","290900","-2.0264756269896798","52.51599717459337"
"AIN","AINTREE","Aintree Rail Station","36027","NAPTAN","336625","397888","-2.9562803142","53.47390962432"
"BIO","BALISTN","Baillieston Rail Station","7296","NAPTAN","267749","663276","-4.11369840014","55.84450099237"
"BWD","BIRCHWD","Birchwood Rail Station","36716","NAPTAN","365180","390783","-2.525307884","53.41271814401"
"BSV","CHORBUK","Buckshaw Parkway Rail Station","30201","NAPTAN","356441","419853","-2.6608298719","53.67334099692"
"CSM","CTNM","Castleton Moor Rail Station","15517","NAPTAN","468371","508484","-0.94664829988","54.46714359175"
"DNY","DANBY","Danby Rail Station","15515","NAPTAN","470686","508409","-0.91095574944","54.46615325413"
"EBV","EBWVPWY","Ebbw Vale Parkway Rail Station","76646","NAPTAN","317540","207172","-3.19610271144","51.7571434907"
"FMT","FALMTHT","Falmouth Town Rail Station","85515","NAPTAN","181133","32086","-5.06493489696","50.14834079608"
"HAM","HMWTHY","Hamworthy Rail Station","86951","NAPTAN","398730","91731","-2.01935696282","50.72519184676"
"KNF","KNUTSFD","Knutsford Rail Station","37221","NAPTAN","375320","378378","-2.37179060704","53.30179054482"
"LGE","LNGEATN","Long Eaton Rail Station","56596","NAPTAN","448040","332183","-1.28752050078","52.88498772573"
"PLK","PLOCKTN","Plockton Rail Station","1073","NAPTAN","179450","832953","-5.66599886107","57.33356474738"
"SOH","SHMPSTD","South Hampstead Rail Station","72314","NAPTAN","526388","184075","-0.17887769152","51.54143216781"
"STC","STCN","Strathcarron Rail Station","1077","NAPTAN","194231","842127","-5.42861255451","57.42273344434"
"ULC","ULCEBY","Ulceby Rail Station","21011","NAPTAN","512490","414968","-0.3008266912","53.61920074472"
"WAV","WVRTTEC","Wavertree Technology Park Rail Station","36599","NAPTAN","338741","390214","-2.92290891019","53.4051917769"
"CLJ","CLPHMJ2","Clapham Junction Rail Station","87219","NAPTAN","527198","175500","-0.17029333674","51.4641880229"
"ZPU","EPUTNEY","EAST PUTNEY UND","87243","ATOC","524300","174800","-0.2122401201896377","51.45853926452043"
"ELN","ELLAND","ELLAND","18453","ATOC","410800","421600","-1.837932233045727","53.6907538930783"
"","GFORDWJ","GREENFORD","73411","ATOC","514900","183900","-0.34451756160975316","51.542312416399106"
"KWR","DMTHKWR","KINGSWEAR (FOR DARTMOUTH)","83639","ATOC","288200","51000","-3.57273063971062","50.34825376055218"
"LIE","LEISTON","LEISTON-BUS 64","49114","ATOC","644500","262300","1.5769387307163953","52.20466844077124"
"VIC","VICTRIA","LONDON VICTORIA","87201","ATOC","528900","179000","-0.14453417087831694","51.495256930214026"
"","PAIGDVL","PAIGNTON","83632","ATOC","289000","60600","-3.5643287289795675","50.434709962396475"
"SOJ","SOHAM","SOHAM","46276","ATOC","558700","273200","0.32777230134640256","52.333949326077374"
"","WELISOM","WELLINGTON (SOMERSET)","83021","ATOC","313000","121200","-3.2407851583097855","50.983601619445395"
